dataset	ID	adj.P.Val	logFC	symbol	abs_logFC	direction
GSE62254	234985_at	0.0372	0.141	LDLRAD3	0.141	Up
GSE62254	227016_at	0.0381	-0.0766	ERICH1	0.0766	Down
GSE62254	226415_at	0.0309	0.114	VAT1L	0.114	Up
GSE62254	234312_s_at	0.0381	0.106	ACSS2	0.106	Up
GSE62254	205108_s_at	0.0321	0.342	APOB	0.342	Up
GSE62254	203245_s_at	0.0355	0.103	LINC00094	0.103	Up
GSE62254	230414_s_at	0.0307	-0.0296	TMEM170A	0.0296	Down
GSE62254	225033_at	0.0334	0.143	ST3GAL1	0.143	Up
GSE62254	1556341_s_at	0.0328	-0.0351	MAPK12	0.0351	Down
GSE62254	202015_x_at	0.0153	0.0392	METAP2	0.0392	Up
GSE62254	1569787_at	0.0226	-0.03	RFTN1	0.03	Down
GSE62254	231933_at	0.0299	-0.0443	MARCH8	0.0443	Down
GSE62254	1552664_at	0.038	-0.0749	FLCN	0.0749	Down
GSE62254	219931_s_at	0.0364	-0.0708	KLHL12	0.0708	Down
GSE62254	241731_x_at	0.0355	-0.0956	ZNF440	0.0956	Down
GSE62254	238599_at	0.0353	-0.136	IRAK1BP1	0.136	Down
GSE62254	239415_at	0.0335	0.106	MAP9	0.106	Up
GSE62254	230449_x_at	0.0356	-0.0972		0.0972	Down
GSE62254	206492_at	0.0308	-0.0943	FHIT	0.0943	Down
GSE62254	202525_at	0.0382	0.138	PRSS8	0.138	Up
GSE62254	227309_at	0.038	-0.084	YOD1	0.084	Down
GSE62254	1554453_at	0.0293	-0.113	HNRNPLL	0.113	Down
GSE62254	237833_s_at	0.0272	0.146	SNCAIP	0.146	Up
GSE62254	203319_s_at	0.0384	0.0821	ZNF148	0.0821	Up
GSE62254	231111_at	0.0367	0.0959	SCYL3	0.0959	Up
GSE62254	214743_at	0.038	0.0698	CUX1	0.0698	Up
GSE62254	220175_s_at	0.0373	-0.0635	CBWD7///CBWD6///CBWD3///CBWD5///CBWD2///CBWD1	0.0635	Down
GSE62254	219368_at	0.0234	0.146	NAP1L2	0.146	Up
GSE62254	38241_at	0.0385	-0.142	BTN3A3	0.142	Down
GSE62254	204005_s_at	0.0386	-0.104	PAWR	0.104	Down
GSE62254	203006_at	0.0376	0.0804	INPP5A	0.0804	Up
GSE62254	209122_at	0.0379	0.165	PLIN2	0.165	Up
GSE62254	217456_x_at	0.0337	-0.0616	HLA-E	0.0616	Down
GSE62254	1561884_at	0.0243	0.0729	CEPT1	0.0729	Up
GSE62254	216766_at	0.0229	0.0698		0.0698	Up
GSE62254	223679_at	0.0385	0.125	CTNNB1	0.125	Up
GSE62254	218212_s_at	0.0386	-0.0702	MOCS2	0.0702	Down
GSE62254	211681_s_at	0.0287	-0.0853	PDLIM5	0.0853	Down
GSE62254	200894_s_at	0.0386	-0.0998	FKBP4	0.0998	Down
GSE62254	209246_at	0.0373	-0.0608	ABCF2	0.0608	Down
GSE62254	206521_s_at	0.034	-0.0505	GTF2A1	0.0505	Down
GSE62254	243538_at	0.0251	-0.0528		0.0528	Down
GSE62254	1553132_a_at	0.0375	-0.151	TC2N	0.151	Down
GSE62254	212592_at	0.0345	0.339	JCHAIN	0.339	Up
GSE62254	241478_at	0.0372	-0.0451	MICALL2	0.0451	Down
GSE62254	206094_x_at	0.0387	0.246	UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10	0.246	Up
GSE62254	203604_at	0.0368	0.0856	ZNF516	0.0856	Up
GSE62254	203192_at	0.0385	0.102	ABCB6	0.102	Up
GSE62254	238169_at	0.0319	0.106		0.106	Up
GSE62254	222566_at	0.0388	0.0743	KMT5B	0.0743	Up
GSE62254	201700_at	0.0386	0.109	CCND3	0.109	Up
GSE62254	229606_at	0.0385	0.0895		0.0895	Up
GSE62254	201944_at	0.0325	-0.071	HEXB	0.071	Down
GSE62254	219247_s_at	0.0389	0.0855	ZDHHC14	0.0855	Up
GSE62254	223429_x_at	0.0386	-0.0511	ISY1	0.0511	Down
GSE62254	1552644_a_at	0.0362	-0.0942	PHC3	0.0942	Down
GSE62254	204709_s_at	0.0388	-0.123	KIF23	0.123	Down
GSE62254	205463_s_at	0.0389	0.14	PDGFA	0.14	Up
GSE62254	210077_s_at	0.0245	-0.0418	SRSF5	0.0418	Down
GSE62254	205413_at	0.0231	0.125	MPPED2	0.125	Up
GSE62254	203827_at	0.0389	0.121	WIPI1	0.121	Up
GSE62254	203018_s_at	0.0389	-0.126	SSX2IP	0.126	Down
GSE62254	230641_at	0.0375	-0.116	LOC100505938	0.116	Down
GSE62254	221477_s_at	0.0384	-0.109	LOC100129518///SOD2	0.109	Down
GSE62254	1552656_s_at	0.0278	-0.0792	UHMK1	0.0792	Down
GSE62254	1556017_at	0.0347	-0.0447	NBEAL2	0.0447	Down
GSE62254	223866_at	0.0234	0.122	ARMC2	0.122	Up
GSE62254	217592_at	0.0241	0.0459	ZSWIM1	0.0459	Up
GSE62254	218849_s_at	0.0384	-0.118	PPP1R13L	0.118	Down
GSE62254	1568847_at	0.0271	-0.0423		0.0423	Down
GSE62254	210447_at	0.0195	0.106	GLUD2	0.106	Up
GSE62254	1562378_s_at	0.0387	-0.0594	PROM2	0.0594	Down
GSE62254	201720_s_at	0.0383	-0.143	LAPTM5	0.143	Down
GSE62254	1552937_s_at	0.0329	-0.0744	ATRIP///TREX1	0.0744	Down
GSE62254	236328_at	0.0265	0.141	ZNF806///ZNF285	0.141	Up
GSE62254	219774_at	0.0364	-0.0783	CCDC93	0.0783	Down
GSE62254	218766_s_at	0.0392	-0.0922	WARS2	0.0922	Down
GSE62254	208262_x_at	0.0303	-0.0472	MEFV	0.0472	Down
GSE62254	200737_at	0.0363	-0.1	PGK1	0.1	Down
GSE62254	238846_at	0.0382	-0.192	TNFRSF11A	0.192	Down
GSE62254	1555213_a_at	0.0231	-0.0341	CLEC7A	0.0341	Down
GSE62254	211454_x_at	0.039	0.0616	FKSG49	0.0616	Up
GSE62254	205477_s_at	0.0318	0.145	AMBP	0.145	Up
GSE62254	206606_at	0.0268	0.212	LIPC	0.212	Up
GSE62254	202226_s_at	0.0389	-0.0882	CRK	0.0882	Down
GSE62254	229313_at	0.0318	0.201	ANO5	0.201	Up
GSE62254	233655_s_at	0.0381	-0.16	HAUS6	0.16	Down
GSE62254	225278_at	0.0392	0.0919	PRKAB2	0.0919	Up
GSE62254	219660_s_at	0.0241	0.0799	ATP8A2	0.0799	Up
GSE62254	224786_at	0.0367	0.118	SCOC	0.118	Up
GSE62254	205434_s_at	0.0392	0.0818	AAK1	0.0818	Up
GSE62254	229914_at	0.0319	0.0677	LOC401261	0.0677	Up
GSE62254	221899_at	0.0385	0.153	N4BP2L2	0.153	Up
GSE62254	208383_s_at	0.0348	0.333	PCK1	0.333	Up
GSE62254	50221_at	0.0393	0.111	TFEB	0.111	Up
GSE62254	210031_at	0.0387	-0.112	CD247	0.112	Down
GSE62254	1552277_a_at	0.0392	-0.0788	MSANTD3	0.0788	Down
GSE62254	223909_s_at	0.0383	-0.0764	HDAC8	0.0764	Down
GSE62254	225517_at	0.0382	-0.0696	ZNF770	0.0696	Down
GSE62254	227946_at	0.0392	0.127	OSBPL7	0.127	Up
GSE62254	221095_s_at	0.0357	0.206	KCNE2	0.206	Up
GSE62254	1564333_a_at	0.0375	0.178	PSAPL1	0.178	Up
GSE62254	243652_at	0.0207	-0.0283		0.0283	Down
GSE62254	231947_at	0.0388	0.113	MYCT1	0.113	Up
GSE62254	228957_at	0.0333	-0.035	ZNF362	0.035	Down
GSE62254	233836_at	0.0293	0.0453	TNRC6A	0.0453	Up
GSE62254	211370_s_at	0.0385	-0.072	MAP2K5	0.072	Down
GSE62254	205755_at	0.0251	0.0459	ITIH3	0.0459	Up
GSE62254	233657_at	0.0319	-0.0376	OPN5	0.0376	Down
GSE62254	210258_at	0.0242	0.154	RGS13	0.154	Up
GSE62254	219633_at	0.0373	0.0749	TTPAL	0.0749	Up
GSE62254	206557_at	0.0302	-0.165	ZNF702P	0.165	Down
GSE62254	228583_at	0.0396	-0.0588	LIN52	0.0588	Down
GSE62254	229300_at	0.0268	0.0768	RAB3C	0.0768	Up
GSE62254	229271_x_at	0.0243	-0.196	COL11A1	0.196	Down
GSE62254	226945_at	0.0392	-0.0613	RHBDD1	0.0613	Down
GSE62254	232591_s_at	0.0396	-0.114	TMEM30A	0.114	Down
GSE62254	1560359_at	0.0259	0.129	ITGA1	0.129	Up
GSE62254	239066_at	0.0369	0.119		0.119	Up
GSE62254	225764_at	0.0391	-0.0665	ETV6	0.0665	Down
GSE62254	1553968_a_at	0.0393	-0.0468	ADAT3	0.0468	Down
GSE62254	202737_s_at	0.0379	-0.0708	LSM4	0.0708	Down
GSE62254	217230_at	0.03	-0.0619	EZR	0.0619	Down
GSE62254	1564733_at	0.0287	0.0601		0.0601	Up
GSE62254	227936_at	0.0397	-0.106	TMEM68	0.106	Down
GSE62254	201821_s_at	0.0375	-0.0721	TIMM17A	0.0721	Down
GSE62254	215082_at	0.0309	-0.0595	ELOVL5	0.0595	Down
GSE62254	213487_at	0.0269	-0.0333	MAP2K2	0.0333	Down
GSE62254	231013_at	0.0373	0.11		0.11	Up
GSE62254	241726_at	0.0394	-0.164		0.164	Down
GSE62254	244009_at	0.0192	-0.027		0.027	Down
GSE62254	235427_at	0.0383	-0.103	CFLAR	0.103	Down
GSE62254	223570_at	0.0391	-0.102	MCM10	0.102	Down
GSE62254	201058_s_at	0.0376	0.149	MYL9	0.149	Up
GSE62254	216599_x_at	0.0278	-0.037	SLC22A6	0.037	Down
GSE62254	1555355_a_at	0.0394	-0.124	ETS1	0.124	Down
GSE62254	203432_at	0.0385	-0.0917	TMPO	0.0917	Down
GSE62254	201374_x_at	0.0261	-0.0456	PPP2CB	0.0456	Down
GSE62254	1560021_at	0.0233	-0.0602		0.0602	Down
GSE62254	237496_at	0.0206	0.0776		0.0776	Up
GSE62254	228310_at	0.0377	0.136	ENAH	0.136	Up
GSE62254	215109_at	0.0261	0.0703	RC3H1	0.0703	Up
GSE62254	220524_at	0.028	0.0699	EPB41L4B	0.0699	Up
GSE62254	210120_s_at	0.0372	-0.0505	RANBP3	0.0505	Down
GSE62254	202209_at	0.036	-0.0555	LSM3	0.0555	Down
GSE62254	1561990_at	0.0262	-0.0371	LOC157931	0.0371	Down
GSE62254	219753_at	0.0298	0.0625	STAG3	0.0625	Up
GSE62254	202756_s_at	0.04	-0.115	GPC1	0.115	Down
GSE62254	201163_s_at	0.0328	0.0947	IGFBP7	0.0947	Up
GSE62254	212012_at	0.0395	0.129	PXDN	0.129	Up
GSE62254	230427_s_at	0.0372	-0.0731	BAG5	0.0731	Down
GSE62254	218235_s_at	0.0387	-0.058	UTP11	0.058	Down
GSE62254	212593_s_at	0.0375	0.122	MIR4680///PDCD4	0.122	Up
GSE62254	238962_at	0.0281	0.152	ZNF681	0.152	Up
GSE62254	237789_at	0.0268	-0.0414		0.0414	Down
GSE62254	214249_at	0.0266	0.0568	TRIM2	0.0568	Up
GSE62254	37892_at	0.0393	-0.387	COL11A1	0.387	Down
GSE62254	235907_at	0.0398	-0.0735	TMEM33	0.0735	Down
GSE62254	203197_s_at	0.04	0.0573	C1orf123	0.0573	Up
GSE62254	208490_x_at	0.0402	0.134	HIST1H2BC///HIST1H2BI///HIST1H2BE///HIST1H2BF///HIST1H2BG	0.134	Up
GSE62254	202753_at	0.0364	-0.0645	PSMD6	0.0645	Down
GSE62254	202048_s_at	0.0403	0.115	CBX6	0.115	Up
GSE62254	204580_at	0.0344	-0.223	MMP12	0.223	Down
GSE62254	200720_s_at	0.0403	-0.0651	ACTR1A	0.0651	Down
GSE62254	204458_at	0.0382	-0.0603	PLA2G15	0.0603	Down
GSE62254	223092_at	0.0393	0.13	ANKH	0.13	Up
GSE62254	221748_s_at	0.0403	0.169	TNS1	0.169	Up
GSE62254	222678_s_at	0.0397	-0.106	DCUN1D1	0.106	Down
GSE62254	239138_at	0.0382	-0.118	NAA50	0.118	Down
GSE62254	204993_at	0.0352	0.0961	GNAZ	0.0961	Up
GSE62254	224960_at	0.0384	-0.0637	SCYL2	0.0637	Down
GSE62254	1554873_at	0.0288	-0.0835	CSPP1	0.0835	Down
GSE62254	235183_at	0.0293	0.154	FILIP1	0.154	Up
GSE62254	204405_x_at	0.0392	-0.0667	DIMT1	0.0667	Down
GSE62254	220135_s_at	0.0375	0.259	SLC7A9	0.259	Up
GSE62254	230265_at	0.0399	0.0996		0.0996	Up
GSE62254	206228_at	0.026	-0.0646	PAX2	0.0646	Down
GSE62254	1554042_s_at	0.0348	-0.0421	TMEM239	0.0421	Down
GSE62254	221036_s_at	0.0385	0.081	APH1B	0.081	Up
GSE62254	210008_s_at	0.0398	-0.071	MRPS12	0.071	Down
GSE62254	225971_at	0.0404	-0.0841	DDHD1	0.0841	Down
GSE62254	204565_at	0.0399	-0.102	ACOT13	0.102	Down
GSE62254	244132_x_at	0.0389	-0.119	ZNF518A	0.119	Down
GSE62254	212881_at	0.0402	-0.0668	PIAS4	0.0668	Down
GSE62254	1554020_at	0.0387	-0.184	BICD1	0.184	Down
GSE62254	240037_at	0.0289	-0.0549	ITPRIPL1	0.0549	Down
GSE62254	232101_s_at	0.0406	-0.0839	PIGN	0.0839	Down
GSE62254	221507_at	0.0406	0.0609	TNPO2	0.0609	Up
GSE62254	1559108_at	0.0267	-0.0931	VPS53	0.0931	Down
GSE62254	201692_at	0.0406	-0.0922	SIGMAR1	0.0922	Down
GSE62254	241574_s_at	0.0268	0.0413	IGF2BP1	0.0413	Up
GSE62254	232701_at	0.0256	0.0475		0.0475	Up
GSE62254	232716_at	0.0282	0.0642		0.0642	Up
GSE62254	1564573_at	0.0371	-0.0406	IFITM10	0.0406	Down
GSE62254	217586_x_at	0.0373	0.073		0.073	Up
GSE62254	223773_s_at	0.0401	-0.0835	SNORA16A///SNORA61///SNORA44///SNHG12	0.0835	Down
GSE62254	211352_s_at	0.0385	0.0927	NCOA3	0.0927	Up
GSE62254	215978_x_at	0.0398	0.0803	ZNF721	0.0803	Up
GSE62254	204346_s_at	0.0407	-0.0641	RASSF1	0.0641	Down
GSE62254	208335_s_at	0.036	0.137	ACKR1	0.137	Up
GSE62254	222988_s_at	0.0397	0.105	TMEM9	0.105	Up
GSE62254	236965_at	0.0284	-0.0376	UBQLNL	0.0376	Down
GSE62254	230212_at	0.0391	0.0711	SPRY1	0.0711	Up
GSE62254	228623_at	0.0309	0.123		0.123	Up
GSE62254	235344_at	0.0368	-0.0954	PPM1A	0.0954	Down
GSE62254	212675_s_at	0.0407	0.097	CEP68	0.097	Up
GSE62254	212558_at	0.0403	0.0845	SPRY1	0.0845	Up
GSE62254	208808_s_at	0.0338	-0.0809	HMGB2	0.0809	Down
GSE62254	213612_x_at	0.0379	0.0643	NBPF20///NBPF10///NBPF8///NBPF9///NBPF15///NBPF12///NBPF14	0.0643	Up
GSE62254	221016_s_at	0.0324	0.0955	TCF7L1	0.0955	Up
GSE62254	209157_at	0.0382	-0.0557	DNAJA2	0.0557	Down
GSE62254	225470_at	0.0396	-0.0706	NUP35	0.0706	Down
GSE62254	215269_at	0.0316	0.113	TRAPPC10	0.113	Up
GSE62254	211651_s_at	0.0403	0.111	LAMB1	0.111	Up
GSE62254	239346_at	0.0409	-0.0833	GTF2H3	0.0833	Down
GSE62254	207307_at	0.0221	0.186	HTR2C	0.186	Up
GSE62254	228278_at	0.0401	0.0569	NFIX	0.0569	Up
GSE62254	212816_s_at	0.0285	0.113	CBS	0.113	Up
GSE62254	1552602_at	0.0312	-0.0306	CACNG5	0.0306	Down
GSE62254	202058_s_at	0.0405	-0.0937	KPNA1	0.0937	Down
GSE62254	243680_at	0.028	-0.0384	LOC100506476	0.0384	Down
GSE62254	218738_s_at	0.0387	-0.0863	RNF138	0.0863	Down
GSE62254	228811_at	0.034	0.0861		0.0861	Up
GSE62254	203297_s_at	0.0412	0.0575	JARID2	0.0575	Up
GSE62254	244627_at	0.0287	-0.0645	TKFC	0.0645	Down
GSE62254	219320_at	0.0397	-0.0871	MYO19	0.0871	Down
GSE62254	226377_at	0.036	-0.122	NFIC	0.122	Down
GSE62254	216026_s_at	0.0404	-0.0668	POLE	0.0668	Down
GSE62254	1565913_at	0.0268	-0.0675		0.0675	Down
GSE62254	225601_at	0.0409	-0.113	HMGB3	0.113	Down
GSE62254	1555016_at	0.0288	-0.0358	IL16	0.0358	Down
GSE62254	1557729_at	0.035	0.0742	GRK5	0.0742	Up
GSE62254	233946_at	0.0309	-0.0635	SMU1	0.0635	Down
GSE62254	222536_s_at	0.039	0.0593	ZNF395	0.0593	Up
GSE62254	217225_x_at	0.0362	0.0778	LOC101060373///NOMO3///NOMO2///NOMO1	0.0778	Up
GSE62254	210249_s_at	0.0412	0.06	NCOA1	0.06	Up
GSE62254	209579_s_at	0.0397	0.0684	MBD4	0.0684	Up
GSE62254	205006_s_at	0.0405	0.114	NMT2	0.114	Up
GSE62254	206182_at	0.0352	0.123	ZNF134	0.123	Up
GSE62254	224709_s_at	0.0369	-0.0735	CDC42SE2	0.0735	Down
GSE62254	223456_s_at	0.0323	-0.0531	TCHP	0.0531	Down
GSE62254	237101_at	0.0198	-0.0252	GHSR	0.0252	Down
GSE62254	210589_s_at	0.0413	0.082	GBAP1	0.082	Up
GSE62254	206429_at	0.0409	-0.147	F2RL1	0.147	Down
GSE62254	214464_at	0.0409	0.111	CDC42BPA	0.111	Up
GSE62254	201249_at	0.0297	-0.0781	SLC2A1	0.0781	Down
GSE62254	208296_x_at	0.0406	-0.106	TNFAIP8	0.106	Down
GSE62254	226035_at	0.0415	0.083	USP31	0.083	Up
GSE62254	213474_at	0.04	0.0711	KCTD7///RABGEF1	0.0711	Up
GSE62254	226720_at	0.0414	-0.0628	PWWP2A	0.0628	Down
GSE62254	220794_at	0.0253	0.109	GREM2	0.109	Up
GSE62254	210525_x_at	0.0229	-0.0356	EFCAB11	0.0356	Down
GSE62254	210493_s_at	0.0276	-0.0642	MFAP3L	0.0642	Down
GSE62254	201768_s_at	0.0411	-0.0908	CLINT1	0.0908	Down
GSE62254	235202_x_at	0.035	-0.111	IKBIP	0.111	Down
GSE62254	205121_at	0.0297	-0.0969	SGCB	0.0969	Down
GSE62254	217691_x_at	0.0415	-0.0587	MIR6787///SLC16A3	0.0587	Down
GSE62254	210084_x_at	0.035	0.0729	TPSAB1	0.0729	Up
GSE62254	206453_s_at	0.0416	0.11	NDRG2	0.11	Up
GSE62254	228234_at	0.0416	-0.105	TMED7-TICAM2///TICAM2	0.105	Down
GSE62254	208685_x_at	0.0404	-0.0603	BRD2	0.0603	Down
GSE62254	224487_at	0.0219	-0.0303		0.0303	Down
GSE62254	221008_s_at	0.0205	0.11	ETNPPL	0.11	Up
GSE62254	201144_s_at	0.0386	-0.0564	EIF2S1	0.0564	Down
GSE62254	1552314_a_at	0.0314	-0.0534	EYA3	0.0534	Down
GSE62254	205214_at	0.0416	-0.109	STK17B	0.109	Down
GSE62254	206693_at	0.0414	-0.186	IL7	0.186	Down
GSE62254	241626_at	0.0275	-0.0391	WTAP	0.0391	Down
GSE62254	242525_at	0.03	-0.0577	SLC2A5	0.0577	Down
GSE62254	218932_at	0.0415	-0.0698	ZNHIT6	0.0698	Down
GSE62254	244462_at	0.0409	-0.1	ZNF224	0.1	Down
GSE62254	207126_x_at	0.0413	0.249	UGT1A1///UGT1A4///UGT1A9///UGT1A6///UGT1A8///UGT1A10	0.249	Up
GSE62254	218205_s_at	0.0365	-0.0704	MKNK2	0.0704	Down
GSE62254	229730_at	0.0265	0.119	SMTNL2	0.119	Up
GSE62254	1560475_at	0.0237	-0.0436	LOC100129455	0.0436	Down
GSE62254	239228_at	0.0301	0.121		0.121	Up
GSE62254	225140_at	0.0417	-0.0913	KLF3	0.0913	Down
GSE62254	205450_at	0.0415	-0.102	PHKA1	0.102	Down
GSE62254	211051_s_at	0.0368	-0.0452	EXTL3	0.0452	Down
GSE62254	225158_at	0.04	-0.0709	GFM1	0.0709	Down
GSE62254	221506_s_at	0.0415	0.0654	TNPO2	0.0654	Up
GSE62254	228863_at	0.0414	0.118	PCDH17	0.118	Up
GSE62254	221272_s_at	0.0308	0.09	C1orf21	0.09	Up
GSE62254	1554119_at	0.0259	-0.0409	USB1	0.0409	Down
GSE62254	212330_at	0.039	-0.0805	TFDP1	0.0805	Down
GSE62254	204537_s_at	0.0288	0.123	MIR452///MIR224///GABRE	0.123	Up
GSE62254	222774_s_at	0.0368	0.191	NETO2	0.191	Up
GSE62254	225910_at	0.0418	0.0693	HELZ	0.0693	Up
GSE62254	39650_s_at	0.0323	0.0625	PCNX2	0.0625	Up
GSE62254	223999_at	0.0305	-0.0518	PPIL2	0.0518	Down
GSE62254	211115_x_at	0.0422	-0.0762	GEMIN2	0.0762	Down
GSE62254	244063_at	0.0314	-0.0419	BTN2A1	0.0419	Down
GSE62254	235738_at	0.0326	-0.102		0.102	Down
GSE62254	55662_at	0.041	-0.0582	C10orf76	0.0582	Down
GSE62254	205047_s_at	0.0406	-0.14	ASNS	0.14	Down
GSE62254	220056_at	0.0416	0.141	IL22RA1	0.141	Up
GSE62254	216961_s_at	0.0312	-0.0499	RPAIN	0.0499	Down
GSE62254	237226_at	0.0283	0.0861		0.0861	Up
GSE62254	239433_at	0.0397	-0.116	LRRC8E	0.116	Down
GSE62254	1553978_at	0.0423	0.0715	BORCS8	0.0715	Up
GSE62254	1558487_a_at	0.0423	-0.0962	TMED4	0.0962	Down
GSE62254	204502_at	0.0423	-0.12	SAMHD1	0.12	Down
GSE62254	1565935_at	0.026	-0.0385	ZGRF1	0.0385	Down
GSE62254	236285_at	0.0297	-0.0984	KLHDC7B	0.0984	Down
GSE62254	240088_at	0.0259	-0.0623	PDE5A	0.0623	Down
GSE62254	212751_at	0.0411	-0.0632	UBE2N	0.0632	Down
GSE62254	204219_s_at	0.0381	-0.0454	PSMC1	0.0454	Down
GSE62254	1560599_a_at	0.0312	-0.0985	CEP89	0.0985	Down
GSE62254	214156_at	0.0297	0.17	MYRIP	0.17	Up
GSE62254	226639_at	0.0422	0.0675	SFT2D3	0.0675	Up
GSE62254	204389_at	0.0392	0.2	MAOA	0.2	Up
GSE62254	229697_at	0.0366	-0.0528	HIRIP3	0.0528	Down
GSE62254	216044_x_at	0.0424	0.114	FAM69A	0.114	Up
GSE62254	239898_x_at	0.0305	-0.0616	ZNF286A	0.0616	Down
GSE62254	232087_at	0.04	0.0931	CXorf23	0.0931	Up
GSE62254	207186_s_at	0.0403	0.0637	BPTF	0.0637	Up
GSE62254	214912_at	0.0233	0.0582		0.0582	Up
GSE62254	228503_at	0.0254	0.118	RPS6KA6	0.118	Up
GSE62254	210053_at	0.0425	-0.0748	TAF5	0.0748	Down
GSE62254	203086_at	0.0402	-0.095	KIF2A	0.095	Down
GSE62254	1553581_s_at	0.0419	-0.0675	SREK1IP1	0.0675	Down
GSE62254	213327_s_at	0.0423	0.0806	USP12	0.0806	Up
GSE62254	204682_at	0.0424	0.133	LTBP2	0.133	Up
GSE62254	225339_at	0.042	0.069	SPAG9	0.069	Up
GSE62254	206289_at	0.0365	0.0594	HOXA4	0.0594	Up
GSE62254	207777_s_at	0.0352	-0.149	SP140	0.149	Down
GSE62254	206310_at	0.0296	0.0948	SPINK2	0.0948	Up
GSE62254	208447_s_at	0.0425	-0.108	PRPS1	0.108	Down
GSE62254	1555594_a_at	0.0349	-0.101	MBNL1	0.101	Down
GSE62254	227285_at	0.0341	0.112	CIART	0.112	Up
GSE62254	208884_s_at	0.0417	0.0803	UBR5	0.0803	Up
GSE62254	230585_at	0.0296	0.18	KCNJ15	0.18	Up
GSE62254	218403_at	0.04	-0.057	TRIAP1	0.057	Down
GSE62254	219219_at	0.0424	-0.0703	TMEM160	0.0703	Down
GSE62254	1554274_a_at	0.0343	-0.0458	SSH1	0.0458	Down
GSE62254	235541_at	0.0366	-0.0529	LAS1L	0.0529	Down
GSE62254	1558093_s_at	0.0426	-0.152	SNHG4///MATR3	0.152	Down
GSE62254	200887_s_at	0.035	-0.111	STAT1	0.111	Down
GSE62254	226062_x_at	0.0427	0.0698	FAM63A	0.0698	Up
GSE62254	210137_s_at	0.0422	-0.0633	DCTD	0.0633	Down
GSE62254	220748_s_at	0.0414	-0.059	ZNF580	0.059	Down
GSE62254	214902_x_at	0.0409	0.0658	LPP	0.0658	Up
GSE62254	232107_at	0.0284	-0.0561	SDHC	0.0561	Down
GSE62254	235241_at	0.0427	0.0822	SLC38A9	0.0822	Up
GSE62254	238740_at	0.0256	0.0729	PTGES3L	0.0729	Up
GSE62254	224227_s_at	0.027	-0.0729	BDP1	0.0729	Down
GSE62254	203482_at	0.0423	-0.0696	SLF2	0.0696	Down
GSE62254	1554057_at	0.0412	0.0952	ASH1L-AS1	0.0952	Up
GSE62254	214121_x_at	0.0306	-0.048	PDLIM7	0.048	Down
GSE62254	1565974_at	0.031	-0.0323		0.0323	Down
GSE62254	212594_at	0.0427	0.126	MIR4680///PDCD4	0.126	Up
GSE62254	223253_at	0.0426	0.231	EPDR1	0.231	Up
GSE62254	209065_at	0.0425	-0.0799	UQCRB	0.0799	Down
GSE62254	214238_at	0.0313	0.0512	GDF7	0.0512	Up
GSE62254	219244_s_at	0.0423	-0.07	MRPL46	0.07	Down
GSE62254	206316_s_at	0.0427	-0.0826	KNTC1	0.0826	Down
GSE62254	205670_at	0.039	0.0932	GAL3ST1	0.0932	Up
GSE62254	235852_at	0.024	0.0921	STON2	0.0921	Up
GSE62254	200699_at	0.0375	0.0843	KDELR2	0.0843	Up
GSE62254	238896_at	0.0391	0.0609	ST3GAL2	0.0609	Up
GSE62254	202112_at	0.0426	0.13	VWF	0.13	Up
GSE62254	209082_s_at	0.0428	0.116	COL18A1	0.116	Up
GSE62254	1557961_s_at	0.026	0.132	C8orf88	0.132	Up
GSE62254	208857_s_at	0.0411	0.0629	PCMT1	0.0629	Up
GSE62254	216939_s_at	0.0225	0.0227	HTR4	0.0227	Up
GSE62254	214720_x_at	0.0429	-0.121	SEPT10	0.121	Down
GSE62254	215933_s_at	0.0405	0.174	HHEX	0.174	Up
GSE62254	1569348_at	0.0221	0.0374	LOC102725451///TPTEP1	0.0374	Up
GSE62254	203756_at	0.0416	0.0525	ARHGEF17	0.0525	Up
GSE62254	205189_s_at	0.043	-0.0562	FANCC	0.0562	Down
GSE62254	228584_at	0.0427	-0.12	SGCB	0.12	Down
GSE62254	232483_at	0.0273	0.0504	MED17	0.0504	Up
GSE62254	1555349_a_at	0.0423	-0.128	ITGB2	0.128	Down
GSE62254	243037_at	0.0279	0.0998		0.0998	Up
GSE62254	208246_x_at	0.0423	0.0778		0.0778	Up
GSE62254	207698_at	0.0316	0.0762	LINC01558	0.0762	Up
GSE62254	211086_x_at	0.0303	-0.0832	NEK1	0.0832	Down
GSE62254	238124_at	0.0324	0.0911	MYOM3	0.0911	Up
GSE62254	214917_at	0.0321	0.14	PRKAA1	0.14	Up
GSE62254	201206_s_at	0.0425	0.0961	RRBP1	0.0961	Up
GSE62254	1557987_at	0.0397	0.0913		0.0913	Up
GSE62254	212625_at	0.0434	-0.0642	STX10	0.0642	Down
GSE62254	242494_at	0.0324	0.0736		0.0736	Up
GSE62254	234953_x_at	0.0355	-0.0423	ZNF19	0.0423	Down
GSE62254	242450_at	0.0265	-0.079	RGMB	0.079	Down
GSE62254	1555339_at	0.0293	0.0285	RAP1A	0.0285	Up
GSE62254	1554522_at	0.0313	-0.111	CNNM2	0.111	Down
GSE62254	203893_at	0.0416	-0.065	AK6	0.065	Down
GSE62254	201270_x_at	0.043	0.0595	NUDCD3	0.0595	Up
